9.00, Rob Wilson,Norming Human Individuality
9.45, Adrian Stencel,Necessity and Contingency. Two kinds of Common Interest
10.30, Tea Break,
11.00, Rebecca Mann,How an Agential Account of Biological Individuality Can Come Apart from Concepts of the Organism
11.45, Andy Barron,Evolving individuality in insects
12.30, Lunch,
2.00, Patrick McGivern,Biological individuality and mesoscale structure
2.45, Rose Trappes,Behavioural Ecological Individuality and Major Evolutionary Transitions in Individuality
3.30, Tea break,
4.00, Andy Clark,Cognitive Entanglement: Predictive Brains and the Intimacy of Mind and World
